RecordType,UNIQUE_ID,Transaction Type,Transaction Currency,Transaction Amount,Billing Currency,Billing Amount,Settlement Date,Settlement Amount,Settlement Currency,System Date,Account Number,Account Id,VPAN,Masked PAN,Date Transmit,Time Transmit,Date Local,Time Local,Message Class,Message Function,Transaction Source,Function Code,Transaction Code,Acquirer Financial Entity,Transaction Reference Number,ARN,Token Requestor ID,Authorization Transaction Log ID,Item Category,RRN,STAN,Description,Card Acceptor Location,MCC,Card Acceptor ID,Terminal Code,Acquirer ID,Acquirer Country,Card Data Input Capability,Cardholder Authentication Availability,Card Capture Capability,Operating Environment,Cardholder Present Indicator,Card Present Indicator,Card Data Input Mode,Cardholder Authentication Method,Cardholder authorization Entity,Pin Capture Capability,Reference,Original Transaction Id,Original Transaction Reference,Balance Before,Surplus Before,Balance After,Surplus After,Credit Debit,Application Sequence
R,145416,1002,356,15.00,682,15.00,20250207,15.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,110759,20250207,110759,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995379865416,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,141666,0,,0,,0,0,,0
R,145458,2,356,15.00,682,15.00,20250207,15.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,110759,20250207,110759,2,2,0,00200,1,,,,,148041,0131,1404995379905458,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,143958,0,,0,,0,0,,0
R,140958,1002,356,35.33,682,35.33,20250207,35.33,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,110759,20250207,110759,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995379940958,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,145458,0,,0,,0,0,,0
R,147041,1,682,2858.61,682,2858.61,20250207,2858.61,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,084243,20250207,084243,2,2,0,00200,26,,,,,140875,0131,1404995380257041,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,144750,1,682,4154.02,682,4154.02,20250207,4154.02,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,014402,20250207,014402,2,2,0,00200,19,,,,,140333,0131,1404995380344750,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,144625,1,682,1776.54,682,1776.54,20250207,1776.54,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,050640,20250207,050640,2,2,0,00200,19,,,,,140041,0131,1404995386734625,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,149416,1,356,4952.78,682,4952.78,20250207,4952.78,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,023711,20250207,023711,2,2,0,00200,1,,,,,140708,0131,1404995387289416,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,145083,2,356,742.92,682,742.92,20250207,742.92,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,023711,20250207,023711,2,2,0,00200,1,,,,,140708,0131,1404995387315083,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,149416,0,,0,,0,0,,0
R,140541,1002,356,5.00,682,5.00,20250207,5.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,023711,20250207,023711,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995387340541,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,145083,0,,0,,0,0,,0
R,148458,2,356,5.00,682,5.00,20250207,5.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,023711,20250207,023711,2,2,0,00200,1,,,,,140708,0131,1404995387368458,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,149416,0,,0,,0,0,,0
R,143916,1002,356,148.58,682,148.58,20250207,148.58,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,023711,20250207,023711,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995387393916,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,148458,0,,0,,0,0,,0
R,149666,1,682,4701.58,682,4701.58,20250207,4701.58,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,123439,20250207,123439,2,2,0,00200,19,,,,,141666,0131,1404995388089666,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,144041,1,356,1418.83,682,1418.83,20250207,1418.83,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,100504,20250207,100504,2,2,0,00200,19,,,,,147083,0131,1404995394864041,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,146375,2,356,17.00,682,17.00,20250207,17.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,100504,20250207,100504,2,2,0,00200,19,,,,,147083,0131,1404995394886375,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,144041,0,,0,,0,0,,0
R,149583,1002,356,42.56,682,42.56,20250207,42.56,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,100504,20250207,100504,2,2,0,00200,19,,,,,00000000000000000000,0131,1404995394909583,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,146375,0,,0,,0,0,,0
R,145750,1,356,3312.88,682,3312.88,20250207,3312.88,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,083734,20250207,083734,2,2,0,00200,0,,,,,141083,0131,1404995394955750,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,146291,2,356,9.00,682,9.00,20250207,9.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,083734,20250207,083734,2,2,0,00200,0,,,,,141083,0131,1404995394976291,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,145750,0,,0,,0,0,,0
R,148416,1002,356,99.39,682,99.39,20250207,99.39,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,083734,20250207,083734,2,2,0,00200,0,,,,,00000000000000000000,0131,1404995394998416,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,146291,0,,0,,0,0,,0
R,147166,1,682,4083.76,682,4083.76,20250207,4083.76,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,120658,20250207,120658,2,2,0,00200,19,,,,,140125,0131,1404995395527166,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,144250,1,682,2183.36,682,2183.36,20250207,2183.36,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,065401,20250207,065401,2,2,0,00200,19,,,,,140000,0131,1404995396314250,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,143500,1,682,1446.35,682,1446.35,20250207,1446.35,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,025812,20250207,025812,2,2,0,00200,26,,,,,141250,0131,1404995396923500,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,147291,1,682,2362.68,682,2362.68,20250207,2362.68,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,095022,20250207,095022,2,2,0,00200,1,,,,,142458,0131,1404995397457291,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,148000,2,682,354.40,682,354.40,20250207,354.40,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,095022,20250207,095022,2,2,0,00200,1,,,,,142458,0131,1404995397478000,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,147291,0,,0,,0,0,,0
R,140000,1002,682,1.00,682,1.00,20250207,1.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,095022,20250207,095022,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995397500000,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,148000,0,,0,,0,0,,0
R,146791,1,356,2586.31,682,2586.31,20250207,2586.31,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,024159,20250207,024159,2,2,0,00200,1,,,,,144875,0131,1404995397546791,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,149416,2,356,387.95,682,387.95,20250207,387.95,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,024159,20250207,024159,2,2,0,00200,1,,,,,144875,0131,1404995397569416,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,146791,0,,0,,0,0,,0
R,149916,1002,356,13.00,682,13.00,20250207,13.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,024159,20250207,024159,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995397589916,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,149416,0,,0,,0,0,,0
R,145583,2,356,13.00,682,13.00,20250207,13.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,024159,20250207,024159,2,2,0,00200,1,,,,,144875,0131,1404995397615583,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,146791,0,,0,,0,0,,0
R,145541,1002,356,77.59,682,77.59,20250207,77.59,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,024159,20250207,024159,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995397635541,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,145583,0,,0,,0,0,,0
R,143916,1,356,921.76,682,921.76,20250207,921.76,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,060458,20250207,060458,2,2,0,00200,26,,,,,142208,0131,1404995398623916,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,146875,2,356,3.00,682,3.00,20250207,3.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,060458,20250207,060458,2,2,0,00200,26,,,,,142208,0131,1404995398646875,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,143916,0,,0,,0,0,,0
R,148500,1002,356,27.65,682,27.65,20250207,27.65,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,060458,20250207,060458,2,2,0,00200,26,,,,,00000000000000000000,0131,1404995398668500,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,146875,0,,0,,0,0,,0
R,148333,1,682,3894.09,682,3894.09,20250207,3894.09,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,083647,20250207,083647,2,2,0,00200,0,,,,,144041,0131,1404995401298333,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,143708,1,356,3736.17,682,3736.17,20250207,3736.17,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,062137,20250207,062137,2,2,0,00200,26,,,,,147375,0131,1404995402833708,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,141458,2,356,1.00,682,1.00,20250207,1.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,062137,20250207,062137,2,2,0,00200,26,,,,,147375,0131,1404995402861458,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,143708,0,,0,,0,0,,0
R,145166,1002,356,112.09,682,112.09,20250207,112.09,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,062137,20250207,062137,2,2,0,00200,26,,,,,00000000000000000000,0131,1404995402885166,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,141458,0,,0,,0,0,,0
R,142000,1,682,4760.93,682,4760.93,20250207,4760.93,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,091439,20250207,091439,2,2,0,00200,0,,,,,145083,0131,1404995404612000,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,147750,1,682,2214.79,682,2214.79,20250207,2214.79,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,090839,20250207,090839,2,2,0,00200,1,,,,,144750,0131,1404995404667750,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,141458,2,682,332.22,682,332.22,20250207,332.22,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,090839,20250207,090839,2,2,0,00200,1,,,,,144750,0131,1404995404691458,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,147750,0,,0,,0,0,,0
R,143000,1002,682,3.00,682,3.00,20250207,3.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,090839,20250207,090839,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995404713000,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,141458,0,,0,,0,0,,0
R,142625,1,356,3725.48,682,3725.48,20250207,3725.48,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,110618,20250207,110618,2,2,0,00200,19,,,,,144416,0131,1404995405752625,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,146708,2,356,11.00,682,11.00,20250207,11.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,110618,20250207,110618,2,2,0,00200,19,,,,,144416,0131,1404995405776708,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,142625,0,,0,,0,0,,0
R,147791,1002,356,111.76,682,111.76,20250207,111.76,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,110618,20250207,110618,2,2,0,00200,19,,,,,00000000000000000000,0131,1404995405797791,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,146708,0,,0,,0,0,,0
R,145416,1,682,4895.35,682,4895.35,20250207,4895.35,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,031134,20250207,031134,2,2,0,00200,0,,,,,144166,0131,1404995406305416,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,140500,1,682,3415.98,682,3415.98,20250207,3415.98,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,015848,20250207,015848,2,2,0,00200,19,,,,,146125,0131,1404995406680500,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,144333,1,356,3968.76,682,3968.76,20250207,3968.76,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,102756,20250207,102756,2,2,0,00200,19,,,,,141833,0131,1404995408034333,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,143416,2,356,1.00,682,1.00,20250207,1.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,102756,20250207,102756,2,2,0,00200,19,,,,,141833,0131,1404995408053416,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,144333,0,,0,,0,0,,0
R,144041,1002,356,119.06,682,119.06,20250207,119.06,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,102756,20250207,102756,2,2,0,00200,19,,,,,00000000000000000000,0131,1404995408074041,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,143416,0,,0,,0,0,,0
R,142041,1,356,118.58,682,118.58,20250207,118.58,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,034342,20250207,034342,2,2,0,00200,19,,,,,143250,0131,1404995408462041,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,147875,2,356,5.00,682,5.00,20250207,5.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,034342,20250207,034342,2,2,0,00200,19,,,,,143250,0131,1404995408487875,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,142041,0,,0,,0,0,,0
R,148916,1002,356,3.56,682,3.56,20250207,3.56,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,034342,20250207,034342,2,2,0,00200,19,,,,,00000000000000000000,0131,1404995408508916,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,147875,0,,0,,0,0,,0
R,149583,1,356,3886.85,682,3886.85,20250207,3886.85,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,083409,20250207,083409,2,2,0,00200,26,,,,,146250,0131,1404995408549583,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,148708,2,356,17.00,682,17.00,20250207,17.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,083409,20250207,083409,2,2,0,00200,26,,,,,146250,0131,1404995408568708,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,149583,0,,0,,0,0,,0
R,148500,1002,356,116.61,682,116.61,20250207,116.61,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,083409,20250207,083409,2,2,0,00200,26,,,,,00000000000000000000,0131,1404995408588500,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,148708,0,,0,,0,0,,0
R,140916,1,682,3254.60,682,3254.60,20250207,3254.60,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,045905,20250207,045905,2,2,0,00200,19,,,,,146625,0131,1404995408990916,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,143500,1,356,568.86,682,568.86,20250207,568.86,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,085709,20250207,085709,2,2,0,00200,19,,,,,149666,0131,1404995409353500,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,146875,2,356,9.00,682,9.00,20250207,9.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,085709,20250207,085709,2,2,0,00200,19,,,,,149666,0131,1404995409376875,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,143500,0,,0,,0,0,,0
R,143916,1002,356,17.07,682,17.07,20250207,17.07,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,085709,20250207,085709,2,2,0,00200,19,,,,,00000000000000000000,0131,1404995409393916,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,146875,0,,0,,0,0,,0
R,141916,1,682,2568.03,682,2568.03,20250207,2568.03,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,070249,20250207,070249,2,2,0,00200,1,,,,,145416,0131,1404995410701916,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,142916,2,682,385.20,682,385.20,20250207,385.20,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,070249,20250207,070249,2,2,0,00200,1,,,,,145416,0131,1404995410722916,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,141916,0,,0,,0,0,,0
R,142583,1002,682,9.00,682,9.00,20250207,9.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,070249,20250207,070249,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995410742583,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,142916,0,,0,,0,0,,0
R,140083,1,682,17.79,682,17.79,20250207,17.79,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,034217,20250207,034217,2,2,0,00200,19,,,,,148041,0131,1404995411570083,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,143583,1,682,3151.56,682,3151.56,20250207,3151.56,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,125125,20250207,125125,2,2,0,00200,19,,,,,144791,0131,1404995412363583,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,143291,1,682,741.92,682,741.92,20250207,741.92,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,044035,20250207,044035,2,2,0,00200,26,,,,,140416,0131,1404995412483291,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
